Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,28/02/2018 08:22:13,94658,6,7,708,3718,387,0,118.0,159.28465086129998,1460,0,531.1428571429,673.1182235366999,46757.8017705846,137.3365167234,7888.166666666701,11130.042594326202,24325,0,72880,14576.0,12590.3839695221,24385,363,72178,12029.666666666699,13189.2575176416,24718,0,0,0,0,0,132,152,63.3860846416,73.9504320818,0,1460,316.1428571429,519.2058813734,269574.747252747,0,0,1,1,0,0,0,1,1,340.4615384615,118.0,531.1428571429,0,0,0,0,0,0,6,708,7,3718,8192,7484,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6,28/02/2018 08:22:13,206,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9708.7378640777,206.0,0.0,206,206,206,206.0,0.0,206,206,0,0.0,0.0,0,0,0,0,0,0,40,0,9708.7378640777,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,258,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
445,6,28/02/2018 08:22:15,165505,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,24.1684541253,55168.3333333333,95478.1464908768,165417,35,165505,82752.5,116980.21034559699,165470,35,0,0.0,0.0,0,0,0,0,0,0,72,32,18.1263405939,6.0421135313,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6,28/02/2018 08:22:16,102429,6,7,708,3718,387,0,118.0,159.28465086129998,1460,0,531.1428571429,673.1182235366999,43210.4189243281,126.9171816575,8535.75,10956.6377235238,24473,0,80271,16054.2,14269.7541569573,31379,366,79733,13288.833333333301,14753.4827266875,30931,0,0,0,0,0,132,152,58.577160765,68.3400208925,0,1460,316.1428571429,519.2058813734,269574.747252747,0,0,1,1,0,0,0,1,1,340.4615384615,118.0,531.1428571429,0,0,0,0,0,0,6,708,7,3718,8192,7484,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6,28/02/2018 08:22:16,167,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11976.0479041916,167.0,0.0,167,167,167,167.0,0.0,167,167,0,0.0,0.0,0,0,0,0,0,0,40,0,11976.047904191599,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,258,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6,28/02/2018 08:22:20,164387,9,7,553,3773,202,0,61.4444444444,87.5344376676,1460,0,539.0,655.4329358015,26315.9495580551,97.331297487,10959.133333333299,28691.2685968264,112846,0,164387,20548.375,37811.1967088265,112846,12,38444,6407.333333333299,9634.419352855,23267,0,0,0,0,0,192,152,54.748854836499994,42.5824426506,0,1460,254.4705882353,474.7129550643,225352.389705882,0,0,1,1,0,0,0,1,0,270.375,61.4444444444,539.0,0,0,0,0,0,0,9,553,7,3773,8192,119,4,20,0.0,0.0,0,0,0.0,0.0,0,0,0
49688,6,28/02/2018 08:22:21,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,Infinity,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,123,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
445,6,28/02/2018 08:22:25,131411,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,30.4388521509,43803.6666666667,74427.18240222,129740,51,131411,65705.5,90630.583251461,129791,1620,0,0.0,0.0,0,0,0,0,0,0,72,32,22.8291391132,7.6097130377,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
445,6,28/02/2018 08:22:34,279349,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14.3190059746,93116.3333333334,161044.947795121,279075,60,279349,139674.5,197226.93051533305,279135,214,0,0.0,0.0,0,0,0,0,0,0,72,32,10.739254481,3.5797514937,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6,28/02/2018 08:22:23,20771523,6,8,708,3695,387,0,118.0,159.28465086129998,1460,0,461.875,652.7494460248,211.9729015537,0.673999687,1597809.46153846,5694143.31315645,20548866,0,150247,30049.4,26647.7164743998,51700,318,20724374,2960624.85714286,7755745.35494026,20548866,0,0,0,0,0,132,172,0.28885700870000003,0.3851426783,0,1460,293.5333333333,507.5976847108,257655.40952380895,0,0,1,1,0,0,0,1,1,314.5,118.0,461.875,0,0,0,0,0,0,6,708,8,3695,8192,7484,3,20,222656.0,0.0,222656,222656,20548866.0,0.0,20548866,20548866,0
443,6,28/02/2018 08:22:44,201,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9950.2487562189,201.0,0.0,201,201,201,201.0,0.0,201,201,0,0.0,0.0,0,0,0,0,0,0,40,0,9950.2487562189,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,258,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
445,6,28/02/2018 08:22:49,282396,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14.1645065794,94132.0,162985.11801081698,282331,1,282396,141198.0,199682.71236639397,282395,1,0,0.0,0.0,0,0,0,0,0,0,72,32,10.6233799346,3.5411266449000003,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
